"ftsim","fesim","aggregation","roles","alpha","score","label"
"occ","dist","avg","FALSE",0.7,0.49478,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.8,0.49004,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.9,0.4857,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",1,0.48183,"occ-dist-avg-FALSE"
"occ","dist","avg","TRUE",0,0.54397,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.1,0.57289,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.2,0.56848,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.3,0.55499,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.4,0.54015,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.5,0.52653,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.6,0.51464,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.7,0.50451,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.8,0.4958,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",0.9,0.48832,"occ-dist-avg-TRUE"
"occ","dist","avg","TRUE",1,0.48183,"occ-dist-avg-TRUE"
"dist","dist","max","FALSE",0,0.27047,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.1,0.28477,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.2,0.29587,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.3,0.30326,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.4,0.30634,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.5,0.3078,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.6,0.30622,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.7,0.2991,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.8,0.28799,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",0.9,0.27394,"dist-dist-max-FALSE"
"dist","dist","max","FALSE",1,0.2578,"dist-dist-max-FALSE"
"dist","dist","max","TRUE",0,0.35947,"dist-dist-max-TRUE"
